train_eps_1,train_eps_2,train_eps_3,train_eps_4,train_eps_5,train_eps_6,train_eps_7,train_eps_8,train_eps_9,train_eps_10,train_eps_11,train_eps_12,train_eps_13
-0.535797214725953,-0.639739757746164,-0.65629393163673,-0.576160402786967,-0.691832414670702,-0.754501962608493,-0.817920358925056,-0.771394378395052,-0.724434659954237,-0.824285948165283,-0.771611119724904,-0.25572085500615,-0.505805634537154
-0.047636904483868,0.0709315882686696,-0.146955813220083,-0.173033687967089,-0.0274953128832197,0.0492465924657798,-0.0369101611124721,-0.0996947523026493,-0.221966536019265,-0.152614263088532,-0.189600722503322,-0.487963380805492,-0.447338810003683
-0.414447862364937,-0.376114257929154,-0.378741639312016,-0.594160327867587,-0.519272887429488,-0.514472949232231,-0.554839893653931,-0.490312202186408,-0.462162771737476,-0.455383258372576,-0.462790639278992,0.0457429525466855,0.030700774721504
-0.755332978775762,-0.820176982321175,-0.74397199430144,-0.774652239854102,-0.857509186847223,-0.944376627777004,-0.903111659051027,-1.01204447915071,-1.0670289551709,-1.16035555936092,-1.2517779096699,-0.111028952798408,-0.260105213554904
-0.358140879496353,-0.449754365185153,-0.428294243601491,-0.616307738100204,-0.420452611962133,-0.420389661850281,-0.333597101562586,-0.306439620220319,-0.344597361342983,-0.226926337495614,-0.452455970473528,-0.193219782554323,-0.430637023270163
-0.262827418466342,-0.215881715060852,-0.349867338871717,-0.237749704966339,-0.534943002159272,-0.320874344024652,-0.318467767539641,-0.377172173211302,-0.415489950207864,-0.263369162009048,-0.229133143961815,-0.30826937656561,-0.586641796117244
-0.0155799829791517,-0.10460888832456,-0.101980009271864,-0.0757922606100003,-0.0556990873409821,-0.01436094151458,-0.0359049590291936,-0.152072340841498,-0.117208757186762,-0.133365004863833,-0.0752638560691409,-0.180767146278519,-0.248236464887629
-0.626115641125131,-0.684957389615724,-0.66527740465196,-0.701658491652635,-0.692852303443841,-0.550433359576429,-0.509677304914668,-0.667960895858878,-0.506404319840357,-0.561130220192659,-0.584860769524452,-0.0706475310508625,-0.576643896334086
-0.241008954622386,-0.000805379225408992,-0.156538972643022,-0.194752953095254,-0.243220990384182,-0.201424712822002,-0.190104146642177,-0.216682730315876,-0.219916761393809,-0.285029144509461,-0.263469956401607,-0.104750190091483,0.0551925069336589
-0.0798791028487847,0.0109074133716935,-0.102694662010459,-0.122483333529424,-0.297140885423599,-0.352948607628992,-0.122521444548281,-0.356719066455693,-0.258105246813881,-0.20679002060127,-0.244262674772508,-0.226400114695973,-0.29783421861138
-0.631391013783979,-0.662360219032398,-0.534909491852871,-0.521721053753848,-0.306110958140521,-0.444342364897096,-0.399725144235636,-0.387816191164479,-0.278580304714342,-0.24466343771035,-0.284094541711418,0.0159328353021998,-0.402793980216201
-1.27766639256724,-1.31188150751291,-1.19690343729144,-1.1058315611618,-1.30162310339672,-1.34023265714572,-1.23252122841866,-1.10236351310358,-1.30305279609923,-1.05997324544512,-0.964416716004257,-0.893962385026565,-0.859664675350478
0.00576313324485493,-0.132560631105001,0.0462455526710132,-0.154786740354519,-0.000919228556776723,-0.0290880816905233,-0.00321618294743923,-0.0749619128989447,-0.0485924304534055,-0.0391366319935722,0.00107912558182379,-0.221549680927012,-0.787389575000039
-0.303258205724674,-0.456181910385759,-0.375398434869997,-0.541081302575618,-0.541865379058147,-0.339375628665816,-0.381898986506232,-0.139469159863838,-0.257267079564413,-0.33860208848199,-0.270937285665965,-0.0356024025018043,-0.161550126233411
-0.57113472365444,-0.61430408382013,-0.454994764945304,-0.529782271627183,-0.448275605170303,-0.571638402696316,-0.684207746070729,-0.580413046815892,-0.501455590209434,-0.613661382260276,-0.583141100024738,-0.641113780077124,-0.487874439833602
-0.413385384375084,-0.444665019247898,-0.453316200302667,-0.336904454003458,-0.574735915637889,-0.368625705364801,-0.533396216941873,-0.318183955265159,-0.362904480501469,-0.474502837365881,-0.393187396104172,-0.725359150306361,-0.686489376625868
-0.912570414207167,-0.800846117235451,-0.859153874997952,-0.947076476004826,-1.03086818320602,-0.938094011995946,-0.94769460068333,-0.846089515844738,-0.866476471679983,-0.701926622476841,-0.74812271990515,-0.587758536924703,-0.596287852096979
-0.171891249771843,-0.175541678304424,-0.135820278344025,-0.183532541806582,-0.33241900989821,-0.186714094677651,-0.343535331070401,-0.124629899787,-0.269127275188563,-0.272092303717683,-0.346350393312861,0.0294082420513935,-0.0142659839994406
-0.953924239553337,-0.808800440548687,-0.914439969716385,-0.7414409776029,-0.670388988527279,-0.828550237439853,-0.668007175880482,-0.963950892792138,-0.873541934466113,-0.863304025891897,-0.82064380180389,-1.27560279795622,-1.05283098900076
-0.501887763254799,-0.455748525484058,-0.497880709638998,-0.45756876183709,-0.526091843313294,-0.499448841624666,-0.494877803220624,-0.512917460306581,-0.359614416982261,-0.489638647908642,-0.594002740506016,-0.165099952293433,-0.107546729408299
-0.448494907451805,-0.507204585254961,-0.379594514060946,-0.343934823598587,-0.335023167620735,-0.434864273959984,-0.202647421364176,-0.2155168552151,-0.25192481508296,-0.283160939290897,-0.261641766685198,-0.581498059405639,-0.427750760297991
0.0650815724921406,-0.0219410693571219,-0.109680648956277,0.116765962702914,0.0643425044264566,-0.00117466631726609,0.153802230587839,-0.0763408097958519,-0.0547178303205859,-0.151101682957894,0.0128903060109447,-0.264800530913942,-0.174085205162524
-0.171911316373958,-0.161851845529729,-0.0524345677109925,-0.155999590780089,-0.176675286868096,-0.115053677665141,-0.150449765639117,-0.250566563030857,-0.168838388240851,-0.160615328977798,-0.104655739321717,-0.299440629378101,-1.07019155176008
-0.526874740933468,-0.556641568520389,-0.470860245960893,-0.564683211416871,-0.543785929282505,-0.381924843436682,-0.486816599750555,-0.489980584968664,-0.385351375708356,-0.562485690346872,-0.468166353674299,0.0107662289747266,-0.030082252774757
-0.409913750035835,-0.408238735097556,-0.265810701444011,-0.272273182667138,-0.235634019526051,-0.288296045633649,-0.197315182138612,-0.231656922236982,-0.0655903220121431,-0.261920372914547,-0.302190170425079,-1.43909433632882,-1.32823264967448
-0.346476861983958,-0.406686940124363,-0.275952749101753,-0.297772620353992,-0.439650888395935,-0.372733420169077,-0.38623304968309,-0.297710390603911,-0.296813529403116,-0.26806694719114,-0.48552334617741,-0.98920623609956,-1.27980742477581
-0.370302066722774,-0.53625428322676,-0.483720840492101,-0.531357434096099,-0.846799981991142,-0.72164304869214,-0.667363924272024,-0.627602375740826,-0.765893820542176,-0.701901692762239,-0.554993007170434,-0.0757631588131193,-0.169977198117529
-0.364881741538228,-0.439685104767986,-0.281520205839309,-0.181185882538666,-0.265571893918606,-0.139821937870328,-0.12683835065367,-0.162728514975424,-0.055321726381673,-0.188950583365214,-0.11556664793571,-0.104973491497074,-0.276962193997864
-0.53834973779192,-0.474827906855091,-0.418892291121452,-0.502294033132934,-0.528208714597939,-0.385012840887229,-0.653004121592618,-0.588565524573182,-0.626343162998214,-0.544319161871591,-0.697654543749678,-0.511009680434208,-0.364991363579903
-0.504272016814956,-0.492414196419281,-0.527420766916519,-0.644896965459075,-0.532651656013881,-0.67146831409699,-0.61529636215248,-0.511598172695408,-0.64488911220988,-0.493612342658987,-0.371306276029177,-0.276880408621216,-0.151036499868868
-0.519533633216967,-0.509106485611682,-0.366217708014643,-0.397521706246328,-0.307864854028819,-0.338206538530026,-0.549935745983473,-0.481735281478273,-0.437908998548961,-0.394770508618922,-0.520153740137071,-0.427907418471541,-0.189135821963818
-0.308049325032472,-0.510214803485814,-0.377622796783227,-0.551862616134625,-0.49800952361393,-0.512651276408095,-0.605178562629284,-0.554496357312703,-0.408084164149087,-0.599747767263557,-0.635794479936487,-0.660009763536652,-0.390740219391616
-0.719482673764254,-0.777908360445746,-0.683349327279052,-0.758469999039032,-0.911096989629491,-0.998720912367715,-1.09527470728898,-1.36986354076982,-1.35213425190479,-1.37572738105237,-1.35376278903759,-0.1870368214089,-0.0223764289228396
-0.34733700297738,-0.285653444169553,-0.0842997951366388,-0.173221413015928,-0.23047535715289,-0.113387096617852,-0.164866459729499,-0.108421307857321,-0.0290280297957298,-0.00892552719603724,-0.1583857421096,-0.212434995685366,-0.532983195179196
0.0123182940166474,0.017196988408864,-0.105545177228478,-0.11822489092823,-0.0368408848371286,-0.118834932903118,-0.0350230915059562,-0.112245560634195,-0.0770482103736318,-0.167502700935586,-0.25756177739642,-0.529023882110517,-0.337298997301127
-0.234559259656965,-0.230971026404393,-0.236787934456154,-0.0514824819363903,-0.284714050100726,-0.232153639459781,-0.153422822276778,-0.12567119281007,-0.0559266601530921,-0.0339379004795694,0.0680679291304064,-0.380095890054917,-0.327716048511456
-0.155406642025764,-0.210556317114822,-0.0731815272566527,-0.255752900895999,-0.109888557450371,-0.225148234581526,-0.149327089253579,-0.39063774353957,-0.147661498686672,-0.191225089022308,-0.317211826734229,-0.124595972890742,-0.453658775342423
-0.996251835680017,-0.981879045257003,-0.911864897253137,-0.858347295216253,-0.764901810281126,-0.946122858047003,-0.913749489452476,-1.19233131537678,-1.02807888782102,-1.08058363231076,-1.15743357187901,-1.39586630754532,-0.877796986040712
