train_u_1,train_u_2,train_u_3,train_u_4,train_u_5,train_u_6,train_u_7,train_u_8,train_u_9,train_u_10,train_u_11,train_u_12,train_u_13
0.625951032179168,0.648582294298032,0.640918585200567,0.697648411220311,0.724532874294927,0.743933327338221,0.77100974114073,0.783516295242238,0.813664183221982,0.797048715275416,0.858173784214483,0.328186176447515,0.469558805394556
0.0497422395694729,0.0504599009616524,0.0445085167243232,0.044779176952465,0.0362943104346405,0.0488452103237564,0.0538269192103448,0.078217897528061,0.0810652711396209,0.0914169571768177,0.141448519200058,0.526474653248377,0.532644699758563
0.518456712131293,0.403256800141672,0.459298800397153,0.448381738007514,0.564347445315075,0.504674834803806,0.524125755205412,0.546977989935991,0.560739662937965,0.46873256001605,0.442572285228974,0.0335203861568121,0.0907326027447358
0.836259741832408,0.74237156358535,0.744931733319224,0.803937343721988,0.890256819999074,0.8956357219883,0.96825171472047,1.09270973084806,1.09046939235816,1.11173335170856,1.14674742546754,0.187739214814659,0.252774535679345
0.37244140533265,0.536055108092809,0.484289573718682,0.519753953079542,0.421581987791303,0.348684954284224,0.303493192234766,0.226863043894992,0.205809527252804,0.320829065442485,0.378877933188958,0.212830092149736,0.427093735765746
0.290361210167376,0.208935201181418,0.221992570193326,0.246627934822514,0.332802459197308,0.332390464619548,0.365453643766524,0.406205990909103,0.435840135849977,0.337147233232283,0.325338274746525,0.419754428241798,0.657520950263242
0.0845406629766879,0.087916446529673,0.0948482178081629,0.0890443136749559,0.097419154762507,0.11028367154279,0.112265625880299,0.116776899142529,0.140556509063675,0.105486940397617,0.152044641689858,0.197787867450497,0.176006319299484
0.600884932606927,0.683689624357516,0.65838153086942,0.756214040072457,0.787916136017579,0.662320385139181,0.614405573337594,0.48436855184769,0.493296295447082,0.497732004719257,0.524641664680464,0.181526931575464,0.57648400562255
0.160871613639574,0.202912429991871,0.201377749174399,0.209022661196001,0.221434470737695,0.20849137347173,0.225080995141651,0.211939292544448,0.230631038150591,0.247479404178166,0.241531512618547,0.104268663490019,0.0380747070893169
0.163212177208175,0.128516671461953,0.134440646159587,0.142319440778114,0.157321191086419,0.147003346425124,0.14866098173231,0.188950507149123,0.193734760290396,0.185359963691601,0.267667956637626,0.163322117778843,0.278467815324282
