"u_hat","V_u_hat"
0.225717907735619,1.51280511076134e-05
0.22888179021457,1.75441750967282e-05
0.20423103561797,9.79764621922789e-06
0.177869301190315,1.74745770163462e-05
0.158751416709792,2.19969656491586e-05
0.170641108046227,1.47680417038241e-05
0.487568393336498,3.21417434607551e-05
0.444023183892185,1.96877184224495e-05
0.447542185446891,3.759196758584e-05
0.501942686868404,5.38652455215385e-05
0.295602221977593,2.43428142296556e-05
0.303568823479892,5.66091634425676e-05
0.301428170416514,1.37327000236196e-05
0.883963287259575,0.00132719253219759
0.0120060874576555,1.88491097134101e-05
0.681370289999303,0.000539031284276864
0.0325724545301495,4.86945173669618e-05
0.120851391484355,4.06130074608513e-05
0.0549047585286708,2.21295135650893e-05
0.0537809613257137,1.60497503933552e-05
0.379448546356237,5.99204844914581e-05
0.269168422768942,2.35687181513848e-05
0.37555219250672,4.10478180275036e-05
0.608034614139961,8.29110683446792e-05
0.217985082454962,1.34385558031999e-05
0.0467019350315407,8.95541199621278e-06
0.175063562805505,2.69487345607927e-05
0.166850305123463,2.67650064884783e-05
0.229893997267453,1.91707280116963e-05
0.198142340054992,3.15598933199684e-05
0.284667640068502,1.48510865141994e-05
0.311284886869923,0.000101159663385157
0.435535910896064,9.12951348771476e-06
0.439723525403247,7.55294566677984e-06
0.485759822004989,8.82717827733977e-05
0.427843702969897,2.59331493995639e-05
0.144818172716406,2.9231540486202e-05
0.512111785658538,0.000135080670350321
0.0340979174910457,0.000114655133107845
1.18397210838003,4.57778631200374e-05
0.938595602617014,5.17413396833101e-05
0.911991295213486,5.00531579232028e-05
0.862332467285204,5.434622162136e-05
1.13924842844135,2.67872425871623e-05
1.2136581756008,5.14239728746905e-05
1.05874358840492,3.39358747282594e-05
0.906769364300913,4.59640817187835e-05
0.863073307393003,4.49040243319339e-05
0.789907198434568,5.00865511675445e-05
0.683641768237204,3.04001603671397e-05
0.724429950224624,7.09705099000402e-05
0.67390126937912,5.18119133869766e-05
0.554024121092018,2.67940950742859e-05
0.493639732392744,2.72360285834619e-05
0.450117796809065,3.97625095864785e-05
0.312822367186709,1.17085071881547e-05
0.253904087296717,4.89360951513064e-05
0.350508561464488,5.43436064184513e-05
0.315880647517384,1.50081148932658e-05
0.257492944865579,5.72691908201993e-05
0.314846864987742,2.15381461152684e-05
0.325924326685534,3.04367753018603e-05
0.327090839691222,2.69375234232295e-05
0.256116390818034,3.06815161260074e-05
0.256967323726531,4.88971013647528e-05
0.755420131838868,6.36185476902098e-05
0.570103617286013,4.03018326299334e-05
0.693805794803249,4.80854625348526e-05
0.516119161094255,3.41222009782591e-05
0.893719067556018,7.33230778109451e-05
0.869169733205755,5.78308075557749e-05
0.931560581311413,6.20145727872857e-05
0.798050974263626,4.94560634700353e-05
0.839469103626746,3.24418758145203e-05
0.820824520475782,0.000174410375862477
0.799688111046388,4.91697067271275e-05
1.04289179525636,4.78520496491273e-05
0.972701788670673,4.58930393705989e-05
0.406510275548412,6.33567291687677e-05
0.344251753573894,1.07084320901028e-05
0.336374390419038,2.20441519561637e-05
0.182838321781714,3.07119944111489e-05
0.261835853307171,3.51614364988833e-05
0.252622011567598,3.75470877104426e-05
0.435903419248177,2.31688209776256e-05
0.657989956096255,2.15070252463547e-05
0.69360626904649,2.96978361418086e-05
0.542790303172127,2.70893939080428e-05
0.638921105118832,5.447457670205e-05
0.510871276585806,5.07648897610509e-05
0.413676551474739,5.84411285436413e-05
0.24438613995653,2.67730022099318e-05
0.212673804803048,2.08927757753985e-05
0.211274393623602,3.44718706617347e-05
0.232574912851977,1.04887691865482e-05
0.188631162923295,1.58403141375316e-05
0.174739376902605,1.75626093697431e-05
0.164183286044524,2.52014683677044e-05
0.165143874042402,2.22304424746871e-05
0.138295142747358,2.95653770725535e-05
0.160589153123641,2.32020330091578e-05
0.129953684553642,2.1172190745235e-05
0.142161900970593,1.81900176986049e-05
0.216108104077994,5.35601479286199e-05
0.439245777668863,4.66243849022699e-05
0.442409471949552,2.40989134206115e-05
0.586311827235383,5.65373883461493e-05
0.375484754890604,1.8439142776027e-05
0.573018848098265,4.57999976077094e-05
0.348078025464211,2.46630113936108e-05
0.607584112408028,6.97019512051623e-05
0.270364466437546,3.67888237549213e-05
0.391162287745519,3.22446259555344e-05
0.420678926205754,1.57791261699891e-05
0.305644464672634,3.58991616761767e-05
0.243045005167593,1.3334144910364e-05
0.254580893571675,2.7912010937705e-05
0.128262592182654,1.85295538197602e-05
0.349444231961358,7.22077268653157e-05
0.323658933535716,6.33146152404299e-05
0.330249759540802,3.82872055403531e-05
0.323551596943235,7.03317317381935e-05
0.325403872307368,4.31939845998606e-05
0.301660555663174,6.60185122898332e-05
0.315746493500027,6.41343966782153e-05
0.257835367633932,5.42878144480565e-05
0.25089157752088,5.42047928689776e-05
0.352792360901529,7.30669269208365e-05
0.795936472945519,0.000305432887074735
0.870822196932479,0.00020396518717968
1.0285762331967,5.75886330243954e-05
1.18483657945499,9.43795303266261e-05
1.0295181022264,4.96849195262026e-05
1.05533358697674,6.18495656851491e-05
1.29977846349175,8.66562581217612e-05
0.762564135818996,6.20315841247502e-05
0.741008004489885,2.28451266032874e-05
0.728665931697808,4.77869985264117e-05
0.585473125927081,5.65807251787836e-05
0.508651303311181,5.69449098150527e-05
0.695953046250795,5.24103959664908e-05
0.276313252806715,4.31439602238989e-05
0.232455348008202,2.37507639892551e-05
0.298439514590754,1.76128176720874e-05
0.239849477160699,1.63989363726499e-05
0.294147277087237,4.09382940734562e-05
0.250112748931475,6.15491526884699e-05
0.260389074140554,3.52687603962264e-05
0.225647793225176,3.83225128509532e-05
0.178223183853409,1.36042192959511e-05
0.215556302839809,1.42454232109284e-05
0.167262796660739,1.79635433664314e-05
0.183487663524879,2.80444614680837e-05
0.118747694269074,6.54448410130698e-06
0.186480081754943,2.32794409499422e-05
0.202088316952083,1.8276895736537e-05
0.209664692427914,2.32399709457316e-05
0.252044027271191,3.66672544750291e-05
0.194565124103378,1.9894521596171e-05
0.178814199084474,2.82999901951627e-06
0.536417088888421,3.0975449995093e-05
0.451114722754263,1.72014399190842e-05
0.488799449946013,3.61670991886849e-05
0.41962694127863,1.58280006087936e-05
0.310757852190451,5.37497077627409e-05
0.28327684731619,4.8387551555097e-05
0.274286309712721,1.96145521150771e-05
0.284014105621609,3.55654705538347e-05
0.293242263446807,3.41911192537937e-05
0.282654633507498,2.60063358100356e-05
0.339926640795356,4.41502453891098e-05
0.385434223809123,2.5843660064333e-05
0.223572800050526,1.80890020140519e-05
0.204522840497487,1.41141073085978e-05
0.192159424763003,1.33079796364613e-05
0.192152731450363,1.17084676352215e-05
0.266633917394308,2.82594460667034e-05
0.22302929057054,1.84943355462497e-05
0.311059738877145,2.8901403437828e-05
0.358328068624317,1.32836141354404e-05
0.688407347892752,5.66578674194054e-05
0.723237518550884,3.36068194091749e-05
0.694403341948715,3.50164193193365e-05
0.708189956082086,3.75469600649899e-05
0.696843819664595,2.80431760123804e-05
0.53388562817453,4.60721395465219e-05
0.537996843431526,5.40660627844781e-05
0.429192436649896,4.71901321582544e-05
0.448525467777637,1.90502561465281e-05
0.484557259581912,3.78115501708262e-05
0.534942632990774,0.000100883935655584
0.453686348104558,6.9207891954769e-05
0.25942083279954,4.57987816255116e-05
0.311880259511057,3.97927446448815e-05
0.293689450056522,7.38992655872625e-05
0.331447951393362,2.67390411337359e-05
0.261135293583738,5.42595442922956e-05
0.266668982856582,6.09301359732627e-05
0.306288327157647,3.07875495805715e-05
0.317025364229417,4.12958513525417e-05
0.368024749161336,2.14973663563348e-05
0.355537243412765,2.17107435110262e-05
0.337981206973671,1.80672190772933e-05
0.22615354407813,4.36305510600267e-05
0.167684621794242,4.66482767150286e-05
0.225786839179673,1.61475841699038e-05
0.0623503810543822,6.07722510488813e-05
0.0872350171864549,6.23740411634923e-05
0.0745040515781346,4.4245138058586e-05
0.0739148756101645,0.000137592192345447
0.10640738970054,0.000253898381392312
0.184301939078369,0.000147039363805938
0.264058285854441,0.000610616325056583
0.373616724375555,0.000145037045027204
0.382325483371852,0.000190434614979772
0.427244573757234,0.000116901449618417
0.394119671755084,0.000106500724190929
0.449501576767829,0.000509642433609294
0.421029714936478,3.74670657343233e-05
